label,url,brand,name,price,skin type,spf,concern,concern 2,concern 3,key ingredient,formulation
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-perfect-radiance-skin-lightening-day-creme-15g/4384871/buy,Lakme,Absolute Perfect Radiance Skin Lightening Day Creme 15g,₹ 79,All,,General Care,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-moisturizer-190ml/1661465/buy,Biotique,Bio Morning Nectar Flawless Sustainable Skin Moisturizer 190ml,₹ 165,All,,Uneven Skin Tone,Hydration,Dark Spots,Honey,Lotion
face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-unisex-aloe-hydration-skin-cream-100-ml/8529167/buy,Nivea,Unisex Aloe Hydration Skin Cream 100 ml,₹ 92,All,,Dull Skin,Dryness,General Care,Aloe Vera,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/vi-john/vi-john-women-set-of-5-saffron-fairness-cream-advanced/15390390/buy,VI-JOHN,Women Set of 5 Saffron Fairness Cream Advanced,₹ 187,All,15 to 30,Softening and Smoothening,Softening and Smoothening,Sun Protection,Vitamin E,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme--peach-milk-soft-creme-150g/7552207/buy,Lakme,Peach Milk Soft Creme 150g,₹ 192,All,,General Care,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-coconut-whitening--brightening-sustainable-cream-50g/1661415/buy,Biotique,Bio Coconut Whitening & Brightening Sustainable Cream 50g,₹ 117,All,,Uneven Skin Tone,Dull Skin,Hydration,Coconut,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-women-perfect-radiance-skin-lightening-day-creme-50-g/1254169/buy,Lakme,Absolute Women Perfect Radiance Skin Lightening Day Creme 50 g,₹ 239,Normal,Below 15,General Care,,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/laneige/laneige-radian-c-cream-30-ml/15078068/buy,LANEIGE,Radian-C Cream 30 ml,₹ 2014,All,,Dark Spots,Uneven Skin Tone,,,Cream
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-lotion-120ml/1661472/buy,Biotique,Bio Morning Nectar Flawless Sustainable Skin Lotion 120ml,₹ 117,All,,Uneven Skin Tone,Hydration,Dark Spots,Honey,Lotion
face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-soft-light-moisturizer-with-vitamin-e-100ml/2273976/buy,Nivea,Soft Light Moisturizer with Vitamin E 100ml,₹ 166,All,,General Care,Dryness,Softening and Smoothening,Vitamin E,Cream
