label,url,brand,name,price,skin type,skin tone,spf,concern,concern 2,concern 3,key ingredient,formulation
primer,https://www.myntra.com/foundation-and-primer/lakme/lakme-absolute-blur-perfect-makeup-primer---mini-10g/13203912/buy,Lakme,Absolute Blur Perfect Makeup Primer - Mini 10g,₹ 254,All,Light to Medium,,Brightening,,,,Gel
primer,https://www.myntra.com/foundation-and-primer/colorbar/colorbar-perfect-match-primer-30-ml/220738/buy,Colorbar,Perfect Match Primer 30 ml,₹ 595,,,,Dullness,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-photo-focus-natural-finish-setting-spray---seal-the-deal/12045972/buy,Wet n Wild,Sustainable Photo Focus Natural Finish Setting Spray - Seal The Deal,₹ 454,Normal,Light to Medium,,,,,,Spray
primer,https://www.myntra.com/foundation-and-primer/mac/mac-mini-prepprime-fix-30-ml/12646938/buy,M.A.C,Mini Prep+Prime Fix+ 30 ml,₹ 1200,,,,Dryness,,,Vitamin E,Spray
primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-photo-focus-matte-face-primer---partners-in-prime/12045988/buy,Wet n Wild,Sustainable Photo Focus Matte Face Primer - Partners In Prime,₹ 454,Normal,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/faces-canada/faces-canada-ultime-pro-perfecting-primer-30ml/1605275/buy,FACES CANADA,Ultime Pro Perfecting Primer 30ml,₹ 719,All,Light to Medium,,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-photo-focus-dewy-face-primer---till-prime-dew-us-part/4425748/buy,Wet n Wild,Sustainable Photo Focus Dewy Face Primer - Till Prime Dew Us Part,₹ 454,,Light to Medium,,,,,Vitamin E,Cream
primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-base-of-glory-pore-minimizing-primer-30-ml/10992422/buy,SUGAR,Base of Glory Pore Minimizing Primer 30 ml,₹ 799,,Medium to Dark,,Pore Minimizing and Blurring,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/anastasia-beverly-hills/anastasia-beverly-hills-mini-eye-primer---l20ka/15693958/buy,ANASTASIA BEVERLY HILLS,Mini Eye Primer - L20KA,₹ 1490,Normal,Light to Medium,,Fine Lines and Wrinkles,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-ultra-face-base-primer-25ml/893764/buy,Makeup Revolution London,Ultra Face Base Primer 25ml,₹ 552,,Light to Medium,,Pore Minimizing and Blurring,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/relove/relove-by-revolution-pore-vanish-primer-/15286252/buy,RELOVE,by Revolution Pore Vanish Primer,₹ 419,All,Fair to Light,,Pore Minimizing and Blurring,,,,Gel
primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-photo-finish-primer-water-116-ml/12278958/buy,Smashbox,Photo Finish Primer Water 116 ml,₹ 1990,All,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-prime-focus-primer-serum-30-ml/12009692/buy,Wet n Wild,Sustainable Prime Focus Primer Serum 30 ml,₹ 487,All,Fair to Light,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-women-blue-aquaholic-hydrating-primer/14893438/buy,SUGAR,Women Blue Aquaholic Hydrating Primer,₹ 699,,Light to Medium,,Fine Lines and Wrinkles,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/relove/relove-by-revolution-h2o-hydrate-primer/15286240/buy,RELOVE,by Revolution H2O Hydrate Primer,₹ 419,,Fair to Light,,Dryness,,,Hyaluronic Acid,Gel
primer,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-matte-fix-oil-control-fixing-spray-100ml/1924752/buy,Makeup Revolution London,Matte Fix Oil Control Fixing Spray 100ml,₹ 715,All,Fair to Light,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-glow-fix-illuminating-fixing-spray-100-ml/1924751/buy,Makeup Revolution London,Glow Fix Illuminating Fixing Spray 100 ml,₹ 747,All,Fair to Light,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-halo-healthy-glow-all-in-1-primer/13356428/buy,Smashbox,HALO HEALTHY GLOW All in 1 Primer,₹ 2650,Normal,Fair to Light,Between 15-30,,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/loreal/loreal-paris-infallible-lasting-primer-30-ml/13324930/buy,LOreal,Paris Infallible Lasting Primer 30 ml,₹ 600,All,Light to Medium,,Pore Minimizing and Blurring,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-grand-finale-dewy-setting-mist---50-ml/12468510/buy,SUGAR,Grand Finale Dewy Setting Mist - 50 ml,₹ 699,All,Fair to Light,,,,,,Spray
primer,https://www.myntra.com/foundation-and-primer/faces-canada/faces-canada-ultime-pro-hd-ace-of-base-radiance-primer-30-g/11488666/buy,FACES CANADA,Ultime Pro HD Ace of Base Radiance Primer 30 g,₹ 719,,Fair to Light,,Dullness,,,,Cream
primer,https://www.myntra.com/foundation-and-primer/milani/milani-bright-side-illuminating-face-primer/14685998/buy,MILANI,Bright Side Illuminating Face Primer,₹ 1040,All,Fair to Light,,,,,Vitamin C,Cream
primer,https://www.myntra.com/foundation-and-primer/mac/mac-prep--prime-fix-100-ml/9590429/buy,M.A.C,Prep + Prime Fix+ 100 ml,₹ 1950,Normal,Light to Medium,,,,,,Liquid
primer,https://www.myntra.com/foundation-and-primer/faces-canada/faces-canada-ultime-pro-primerizer-primer--moisturizer---30-g/10699656/buy,FACES CANADA,Ultime Pro Primerizer Primer + Moisturizer - 30 g,₹ 599,All,Light to Medium,,,,,,Liquid
