,Unnamed: 0,label,url,brand,name,price,skin type,concern,img
0,0,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-perfect-radiance-skin-lightening-day-creme-15g/4384871/buy,lakme,absolute perfect radiance skin lightening day creme 15g,₹ 79,all,"general care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/4384871/2021/8/11/44f62cd5-555e-45d2-ba86-05aad086ce001628671666203LakmeAbsolutePerfectRadianceSkinLighteningDayCreme15g1.jpg"
1,1,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-moisturizer-190ml/1661465/buy,biotique,bio morning nectar flawless sustainable skin moisturizer 190ml,₹ 165,all,"uneven skin tone,hydration,dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661465/2021/8/11/4ada0a5c-81e7-44bc-b9bf-a5c6eddd01901628671309687BiotiqueBioMorningNectarFlawlessSustainableSkinLotion190ml1.jpg"
2,2,face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-unisex-aloe-hydration-skin-cream-100-ml/8529167/buy,nivea,unisex aloe hydration skin cream 100 ml,₹ 92,all,"dull skin,dryness,general care","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8529167/2019/4/19/4ce57d8e-3257-4428-adce-0eae7e558b051555656637473-Nivea-Unisex-Hand-and-Feet-Cream-2421555656637210-1.jpg"
3,3,face-moisturisers,https://www.myntra.com/face-moisturisers/vi-john/vi-john-women-set-of-5-saffron-fairness-cream-advanced/15390390/buy,vi-john,women set of 5 saffron fairness cream advanced,₹ 187,all,"softening,smoothening,softening,smoothening,sun protection","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15390390/2021/9/7/b1ec71fe-bc6d-4bc0-b347-8a4ff9bdb75b1631007748959VI-JOHNSaffronFairnessCreamAdvancedPackOf550g1.jpg"
4,4,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme--peach-milk-soft-creme-150g/7552207/buy,lakme,peach milk soft creme 150g,₹ 192,all,"general care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7552207/2021/8/11/16b1fca4-d52b-4cf5-83a7-f9852817e79c1628671501364LakmePeachMilkSoftCreme150g1.jpg"
5,5,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-coconut-whitening--brightening-sustainable-cream-50g/1661415/buy,biotique,bio coconut whitening & brightening sustainable cream 50g,₹ 117,all,"uneven skin tone,dull skin,hydration","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661415/2021/2/10/6d0026b5-59d9-488b-859a-a80c009b4c381612953618725BiotiqueBioCoconutWhiteningBrighteningSustainableCream50g1.jpg"
6,6,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-women-perfect-radiance-skin-lightening-day-creme-50-g/1254169/buy,lakme,absolute women perfect radiance skin lightening day creme 50 g,₹ 239,normal,"general care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1254169/2019/12/2/4947de98-1a37-499d-952b-3c24f99428331575285541146-Lakme-Absolute-Women-Perfect-Radiance-Skin-Lightening-Day-Cr-1.jpg"
7,7,face-moisturisers,https://www.myntra.com/face-moisturisers/laneige/laneige-radian-c-cream-30-ml/15078068/buy,laneige,radian-c cream 30 ml,₹ 2014,all,"dark spots,uneven skin tone,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15078068/2021/9/8/e560d481-d480-454e-98d5-e67adb71c7f91631072663207-LANEIGE-Unisex-Face-Moisturisers-261631072663101-1.jpg"
8,8,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-lotion-120ml/1661472/buy,biotique,bio morning nectar flawless sustainable skin lotion 120ml,₹ 117,all,"uneven skin tone,hydration,dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661472/2021/8/11/a0e94943-abc1-47f8-a3de-442783e87b301628671530500BiotiqueBioMorningNectarFlawlessSustainableSkinLotion120ml1.jpg"
9,9,face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-soft-light-moisturizer-with-vitamin-e-100ml/2273976/buy,nivea,soft light moisturizer with vitamin e 100ml,₹ 166,all,"general care,dryness,softening,smoothening","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2273976/2018/4/12/11523536204433-Nivea-Soft-Light-Moisturiser-All-Purpose-Cream-8311523536204091-1.jpg"
10,10,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-vitamin-c-correcting-and-brightening-treatment-face-moisturizer-50-g/12679484/buy,biotique,vitamin c correcting and brightening treatment face moisturizer 50 g,₹ 147,normal,"general care,irregular textures,pigmentation","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12679484/2020/10/9/cf03e5f8-7f24-4dda-a7c7-673e764f00e81602217635339-Biotique-Advanced-Organics-Vitamin-C-Correcting-and-Brighten-1.jpg"
11,11,face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-hydro-boost-emulsion-face-moisturisers-50-g/10337731/buy,neutrogena,hydro boost emulsion face moisturisers 50 g,₹ 1100,dry,"general care,,","https://assets.myntassets.com/h_1136,q_90,w_852/v1/assets/images/10337731/2020/8/21/64516939-6ad3-4db2-8477-a71064dcbe211598008967441-Neutrogena-Unisex-Hydro-Boost-Emulsion-Face-Moisturisers-50--1.jpg"
12,12,face-moisturisers,https://www.myntra.com/face-moisturisers/bewakoof-cosmos/bewakoof-cosmos-touch-of-universe-face-moisturizer-with-vitamin-e--magnesium--100gms/15360926/buy,bewakoof cosmos,touch of universe face moisturizer with vitamin e & magnesium -100gms,₹ 174,normal,"dryness,skin inflammation,sun protection","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15360926/2021/9/28/36111fdb-e9b4-4de2-8c65-e99f1a4e7a841632812925783-BEWAKOOF-COSMOS-Touch-of-Universe-Face-Moisturizer-with-Vita-1.jpg"
13,13,face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-one-day-cream-normal-spf-15---50g/13509836/buy,olay,total effects 7 in one day cream normal spf 15 - 50g,₹ 629,all,"fine lines,wrinkles,hydration,softening,smoothening","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13509836/2021/8/11/57cb5012-4555-4d41-86a4-d2f71463fdd51628671623193OlayTotalEffects7InOneDayCreamNormalSPF15-50g1.jpg"
14,14,face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-women-white-glow-skin-whitening--brightening-nourishing-night-creme-40-g/11752736/buy,lotus herbals,women white glow skin whitening & brightening nourishing night creme 40 g,₹ 191,all,"pigmentation,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11752736/2020/9/29/f93ffcd3-bd2b-4dfa-bacf-d1c0f4a4c3a31601377501051-Lotus-Herbals-Women-Face-Moisturisers-8121601377500397-1.jpg"
15,15,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-wheat-germ-youthful-nourishing-night-sustainable-cream-50g/1661469/buy,biotique,bio wheat germ youthful nourishing night sustainable cream 50g,₹ 135,all,"dryness,deep nourishment,dryness","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661469/2021/8/11/ea9d7121-2dd3-4d7b-8ba1-e2864fb8e9a01628671582222BiotiqueBioWheatGermYouthfulNourishingNightSustainableCream51.jpg"
16,16,face-moisturisers,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-bye-bye-blemishes-face-cream-30ml/11081528/buy,mamaearth,bye bye blemishes face cream 30ml,₹ 404,all,"pigmentation,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11081528/2021/8/11/4eb68cbb-57f1-4ef1-8103-02b63e047ea51628659165422MamaearthByeByeBlemishesFaceCream30ml1.jpg"
17,17,face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-white-glow-day-night-pack-with-facial-wash-60g--60g--100g/1353659/buy,lotus herbals,sustainable white glow day night pack with facial wash 60g + 60g + 100g,₹ 529,normal,"general care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1353659/2021/3/8/bd10f014-ccd3-48d3-98dd-0e29052445811615186275813-Lotus-Herbals-Sustainable-White-Glow-Day-Night-Pack-with-Fac-1.jpg"
18,18,face-moisturisers,https://www.myntra.com/face-moisturisers/neutriderm/neutriderm-vitamin-e-moisturising-lotion-125ml/13176342/buy,neutriderm,vitamin e moisturising lotion 125ml,₹ 850,all,"general care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/12/7/be9b076d-39e4-4e46-a705-311d2e5a99261607327284710-1.jpg"
20,20,face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-regenerist-advanced-anti-ageing-micro-sculpting-cream-50-g/10444752/buy,olay,regenerist advanced anti-ageing micro-sculpting cream 50 g,₹ 1189,dry,"fine lines,wrinkles,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10444752/2021/8/11/9f4a5426-229a-4f2a-a740-986ec82bf6211628659283564OlayRegeneristAdvancedAnti-AgeingMicro-SculptingCream50g1.jpg"
21,21,face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-men-creme-for-face---body---hands-75-ml/2273979/buy,nivea,men creme for face - body - hands 75 ml,₹ 112,all,"general care,dull skin,dryness","https://assets.myntassets.com/h_1136,q_90,w_852/v1/assets/images/2273979/2018/2/1/11517480202766-Nivea-Men-Face-Moisturisers-2931517480202773-1.jpg"
22,22,face-moisturisers,https://www.myntra.com/face-moisturisers/ponds/ponds-women-non-oily-fresh-feel-light-moisturiser/7197046/buy,ponds,women non-oily fresh feel light moisturiser,₹ 112,all,"general care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7197046/2021/9/29/1b61c841-424c-4842-a92f-4da1d1a43cea1632856561969-Ponds-Women-Non-Oily-Fresh-Feel-Light-Moisturiser-8271632856-1.jpg"
23,23,face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-rapid-wrinkle-repair-night-moisturizer---29-ml/2427948/buy,neutrogena,rapid wrinkle repair night moisturizer - 29 ml,₹ 1250,all,"fine lines,wrinkles,pigmentation,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2427948/2021/8/11/9261d148-53b5-46a1-96a5-c7ae7b0f73271628671612293NeutrogenaRapidWrinkleRepairNightMoisturizer-29ml1.jpg"
24,24,face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-whitening--even-tone-night-cream-50ml/236322/buy,loreal,paris white perfect whitening + even tone night cream 50ml,₹ 412,all,"pigmentation,blackheads,whiteheads,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/236322/2021/8/11/bc349239-8864-4895-843a-29aaa708425a1628672978490-LOreal-Paris-White-Perfect-Whitening--Even-Tone-Night-Cream--1.jpg"
