,Unnamed: 0,label,url,brand,name,price,skin type,skin tone,img
0,0,primer,https://www.myntra.com/foundation-and-primer/lakme/lakme-absolute-blur-perfect-makeup-primer---mini-10g/13203912/buy,lakme,absolute blur perfect makeup primer - mini 10g,₹ 254,all,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13203912/2021/3/24/0f5fe5cb-696c-4cd5-a911-f1cec296f5e51616572811065-Lakme-Women-Foundation-and-Primer-4691616572807941-1.jpg"
1,2,primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-photo-focus-natural-finish-setting-spray---seal-the-deal/12045972/buy,wet n wild,sustainable photo focus natural finish setting spray - seal the deal,₹ 454,normal,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12045972/2020/10/10/15635e29-2399-4820-9c91-e669d8b446f41602271086993WetnWildSustainablePhotofocusNaturalFinishSettingSpray-SealT1.jpg"
2,4,primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-photo-focus-matte-face-primer---partners-in-prime/12045988/buy,wet n wild,sustainable photo focus matte face primer - partners in prime,₹ 454,normal,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12045988/2020/10/10/4bb7898e-95ec-4c73-a087-516264b57cfb1602270109131WetnWildSustainablePhotoFocusMatteFacePrimer-PartnersInPrime1.jpg"
3,5,primer,https://www.myntra.com/foundation-and-primer/faces-canada/faces-canada-ultime-pro-perfecting-primer-30ml/1605275/buy,faces canada,ultime pro perfecting primer 30ml,₹ 719,all,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1605275/2021/6/19/80125a2b-b7e2-4132-9170-93bd5ad7b3db1624081783069-FACES-CANADA-Ultime-Pro-Perfecting-Primer-30ml-2016240817827-1.jpg"
4,6,primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-photo-focus-dewy-face-primer---till-prime-dew-us-part/4425748/buy,wet n wild,sustainable photo focus dewy face primer - till prime dew us part,₹ 454,all,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/4425748/2020/10/10/af18b742-c8c3-4855-9fa1-a366468d9bfe1602272004684WetnWildSustainablePhotofocusDewyFacePrimer-TillPrimeDewUsPa1.jpg"
5,7,primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-base-of-glory-pore-minimizing-primer-30-ml/10992422/buy,sugar,base of glory pore minimizing primer 30 ml,₹ 799,all,medium to dark,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10992422/2021/8/13/509ac116-3cc4-40b1-ac33-fc7bd8edb60d1628846584713SUGARBaseofGloryPoreMinimizingPrimer30ml1.jpg"
6,8,primer,https://www.myntra.com/foundation-and-primer/anastasia-beverly-hills/anastasia-beverly-hills-mini-eye-primer---l20ka/15693958/buy,anastasia beverly hills,mini eye primer - l20ka,₹ 1490,normal,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15693958/2021/10/21/c4247a17-57cc-4320-b641-174615937f371634778151025-ANASTASIA-BEVERLY-HILLS-Women-Eyebrow-Enhancer-1371634778150-1.jpg"
7,9,primer,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-ultra-face-base-primer-25ml/893764/buy,makeup revolution london,ultra face base primer 25ml,₹ 552,all,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/893764/2018/4/12/11523508202986-Makeup-Revolution-London-Women-Skin-Care-Gift-Set-4301523508202965-1.jpg"
8,10,primer,https://www.myntra.com/foundation-and-primer/relove/relove-by-revolution-pore-vanish-primer-/15286252/buy,relove,by revolution pore vanish primer,₹ 419,all,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15286252/2021/9/2/b763f34b-d838-4743-ab93-b02eb3df1a521630586990865-RELOVE-Women-Foundation-and-Primer-4631630586990739-1.jpg"
9,11,primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-photo-finish-primer-water-116-ml/12278958/buy,smashbox,photo finish primer water 116 ml,₹ 1990,all,light to medium,"https://assets.myntassets.com/h_1136,q_90,w_852/v1/assets/images/12278958/2020/9/24/2835f481-d143-4da6-aa87-8cefd00e324a1600931804055-Photo-Finish-Primer-Water-4461600931803981-1.jpg"
10,12,primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-prime-focus-primer-serum-30-ml/12009692/buy,wet n wild,sustainable prime focus primer serum 30 ml,₹ 487,all,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12009692/2020/8/4/300c1710-ad35-4b27-a134-160a8c2d2ad81596554258365-Wet-n-Wild-Women-Foundation-and-Primer-2471596554258050-1.jpg"
11,13,primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-women-blue-aquaholic-hydrating-primer/14893438/buy,sugar,women blue aquaholic hydrating primer,₹ 699,all,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14893438/2021/7/30/0b4f3609-fc9b-4ccc-81d5-68893efe72091627642551022-SUGAR-Women-Blue-Aquaholic-Hydrating-Primer-4681627642550645-1.jpg"
12,14,primer,https://www.myntra.com/foundation-and-primer/relove/relove-by-revolution-h2o-hydrate-primer/15286240/buy,relove,by revolution h2o hydrate primer,₹ 419,all,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15286240/2021/9/2/630178c2-faf4-45c1-a0d7-67d5677695351630586406758-RELOVE-Women-Foundation-and-Primer-3141630586406607-1.jpg"
13,15,primer,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-matte-fix-oil-control-fixing-spray-100ml/1924752/buy,makeup revolution london,matte fix oil control fixing spray 100ml,₹ 715,all,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1924752/2019/5/29/92c8e146-d7a1-40f0-848c-61458d8ad1fe1559105959751-Makeup-Revolution-London-Pro-Fix-Oil-Control-Fixing-Spray-79-1.jpg"
14,16,primer,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-glow-fix-illuminating-fixing-spray-100-ml/1924751/buy,makeup revolution london,glow fix illuminating fixing spray 100 ml,₹ 747,all,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1924751/2019/6/18/326facd4-4a9e-47a7-921c-022030a29be31560859085879-Makeup-Revolution-London-Pro-Fix-Illuminating-Fixing-Spray-3-1.jpg"
15,17,primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-halo-healthy-glow-all-in-1-primer/13356428/buy,smashbox,halo healthy glow all in 1 primer,₹ 2650,normal,fair to light,"https://assets.myntassets.com/h_1136,q_90,w_852/v1/assets/images/13356428/2021/3/18/d8392ac6-92a1-4079-acdf-c4149a4a97d41616045549828-Smashbox-Women-Foundation-and-Primer-521616045549720-1.jpg"
16,18,primer,https://www.myntra.com/foundation-and-primer/loreal/loreal-paris-infallible-lasting-primer-30-ml/13324930/buy,loreal,paris infallible lasting primer 30 ml,₹ 600,all,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13324930/2021/2/5/647bab60-6a74-4ec6-a87f-090d748145251612506883296-LOreal-Women-Foundation-and-Primer-3331612506882606-1.jpg"
17,19,primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-grand-finale-dewy-setting-mist---50-ml/12468510/buy,sugar,grand finale dewy setting mist - 50 ml,₹ 699,all,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12468510/2021/8/13/30689d24-d2ee-49e3-a5e7-e5ad17764b041628846511992SUGARGrandFinaleDewySettingMist-50ml1.jpg"
